x ,	 y, 	 r 
137 , 178 , 8498783756.25
138 , 178 , 6934331025.0
139 , 178 , 14206922100.0
140 , 178 , 14206922100.0
141 , 178 , 14206922100.0
142 , 178 , 6934331025.0
143 , 178 , 8498783756.25
199 , 178 , 1099345162.5
200 , 178 , 2706080400.0
201 , 178 , 5877268368.75
202 , 178 , 4228250625.0
203 , 178 , 2494667868.75
204 , 178 , 1057062656.25
61 , 179 , 623666967.1875
62 , 179 , 1057062656.25
63 , 179 , 1469317092.1875
64 , 179 , 1860430275.0
65 , 179 , 803367618.75
137 , 179 , 4164826865.625
138 , 179 , 3287464860.9375
139 , 179 , 6934331025.0
140 , 179 , 6934331025.0
141 , 179 , 6934331025.0
142 , 179 , 3287464860.9375
143 , 179 , 4164826865.625
200 , 179 , 803367618.75
201 , 179 , 1860430275.0
202 , 179 , 1469317092.1875
203 , 179 , 1057062656.25
204 , 179 , 623666967.1875
137 , 180 , 5285313281.25
138 , 180 , 4164826865.625
139 , 180 , 8498783756.25
140 , 180 , 8498783756.25
141 , 180 , 8498783756.25
142 , 180 , 4164826865.625
143 , 180 , 5285313281.25
137 , 246 , 5285313281.25
138 , 246 , 4164826865.625
139 , 246 , 8498783756.25
140 , 246 , 8498783756.25
141 , 246 , 8498783756.25
142 , 246 , 4164826865.625
143 , 246 , 5285313281.25
97 , 247 , 623666967.1875
98 , 247 , 1057062656.25
99 , 247 , 1469317092.1875
100 , 247 , 1860430275.0
101 , 247 , 803367618.75
137 , 247 , 4164826865.625
138 , 247 , 3287464860.9375
139 , 247 , 6934331025.0
140 , 247 , 6934331025.0
141 , 247 , 6934331025.0
142 , 247 , 3287464860.9375
143 , 247 , 4164826865.625
240 , 247 , 803367618.75
241 , 247 , 1860430275.0
242 , 247 , 1469317092.1875
243 , 247 , 1057062656.25
244 , 247 , 623666967.1875
97 , 248 , 1057062656.25
98 , 248 , 2494667868.75
99 , 248 , 4228250625.0
100 , 248 , 5877268368.75
101 , 248 , 2706080400.0
102 , 248 , 1099345162.5
137 , 248 , 8498783756.25
138 , 248 , 6934331025.0
139 , 248 , 14206922100.0
140 , 248 , 14206922100.0
141 , 248 , 14206922100.0
142 , 248 , 6934331025.0
143 , 248 , 8498783756.25
239 , 248 , 1099345162.5
240 , 248 , 2706080400.0
241 , 248 , 5877268368.75
242 , 248 , 4228250625.0
243 , 248 , 2494667868.75
244 , 248 , 1057062656.25
97 , 249 , 1469317092.1875
98 , 249 , 4228250625.0
99 , 249 , 6934331025.0
100 , 249 , 9555846412.5
101 , 249 , 5084471376.5625
102 , 249 , 3498877392.1875
137 , 249 , 8498783756.25
138 , 249 , 6934331025.0
139 , 249 , 14206922100.0
140 , 249 , 14206922100.0
141 , 249 , 14206922100.0
142 , 249 , 6934331025.0
143 , 249 , 8498783756.25
239 , 249 , 3498877392.1875
240 , 249 , 5084471376.5625
241 , 249 , 9555846412.5
242 , 249 , 6934331025.0
243 , 249 , 4228250625.0
244 , 249 , 1469317092.1875
97 , 250 , 1860430275.0
98 , 250 , 5877268368.75
99 , 250 , 9555846412.5
100 , 250 , 13149859443.75
101 , 250 , 7441721100.0
102 , 250 , 5877268368.75
137 , 250 , 8498783756.25
138 , 250 , 6934331025.0
139 , 250 , 14206922100.0
140 , 250 , 14206922100.0
141 , 250 , 14206922100.0
142 , 250 , 6934331025.0
143 , 250 , 8498783756.25
239 , 250 , 5877268368.75
240 , 250 , 7441721100.0
241 , 250 , 13149859443.75
242 , 250 , 9555846412.5
243 , 250 , 5877268368.75
244 , 250 , 1860430275.0
307 , 250 , 5285313281.25
308 , 250 , 4164826865.625
309 , 250 , 8498783756.25
310 , 250 , 8498783756.25
311 , 250 , 8498783756.25
312 , 250 , 4164826865.625
313 , 250 , 5285313281.25
97 , 251 , 803367618.75
98 , 251 , 2706080400.0
99 , 251 , 5084471376.5625
100 , 251 , 7441721100.0
101 , 251 , 4492516289.0625
102 , 251 , 4164826865.625
137 , 251 , 4164826865.625
138 , 251 , 3287464860.9375
139 , 251 , 6934331025.0
140 , 251 , 6934331025.0
141 , 251 , 6934331025.0
142 , 251 , 3287464860.9375
143 , 251 , 4164826865.625
239 , 251 , 4164826865.625
240 , 251 , 4492516289.0625
241 , 251 , 7441721100.0
242 , 251 , 5084471376.5625
243 , 251 , 2706080400.0
244 , 251 , 803367618.75
272 , 251 , 623666967.1875
273 , 251 , 1057062656.25
274 , 251 , 1469317092.1875
275 , 251 , 1860430275.0
276 , 251 , 803367618.75
307 , 251 , 4164826865.625
308 , 251 , 3287464860.9375
309 , 251 , 6934331025.0
310 , 251 , 6934331025.0
311 , 251 , 6934331025.0
312 , 251 , 3287464860.9375
313 , 251 , 4164826865.625
347 , 251 , 803367618.75
348 , 251 , 1860430275.0
349 , 251 , 1469317092.1875
350 , 251 , 1057062656.25
351 , 251 , 623666967.1875
98 , 252 , 1099345162.5
99 , 252 , 3498877392.1875
100 , 252 , 5877268368.75
101 , 252 , 4164826865.625
102 , 252 , 5285313281.25
137 , 252 , 5285313281.25
138 , 252 , 4164826865.625
139 , 252 , 8498783756.25
140 , 252 , 8498783756.25
141 , 252 , 8498783756.25
142 , 252 , 4164826865.625
143 , 252 , 5285313281.25
239 , 252 , 5285313281.25
240 , 252 , 4164826865.625
241 , 252 , 5877268368.75
242 , 252 , 3498877392.1875
243 , 252 , 1099345162.5
272 , 252 , 1057062656.25
273 , 252 , 2494667868.75
274 , 252 , 4228250625.0
275 , 252 , 5877268368.75
276 , 252 , 2706080400.0
277 , 252 , 1099345162.5
307 , 252 , 8498783756.25
308 , 252 , 6934331025.0
309 , 252 , 14206922100.0
310 , 252 , 14206922100.0
311 , 252 , 14206922100.0
312 , 252 , 6934331025.0
313 , 252 , 8498783756.25
346 , 252 , 1099345162.5
347 , 252 , 2706080400.0
348 , 252 , 5877268368.75
349 , 252 , 4228250625.0
350 , 252 , 2494667868.75
351 , 252 , 1057062656.25
272 , 253 , 1469317092.1875
273 , 253 , 4228250625.0
274 , 253 , 6934331025.0
275 , 253 , 9555846412.5
276 , 253 , 5084471376.5625
277 , 253 , 3498877392.1875
307 , 253 , 8498783756.25
308 , 253 , 6934331025.0
309 , 253 , 14206922100.0
310 , 253 , 14206922100.0
311 , 253 , 14206922100.0
312 , 253 , 6934331025.0
313 , 253 , 8498783756.25
346 , 253 , 3498877392.1875
347 , 253 , 5084471376.5625
348 , 253 , 9555846412.5
349 , 253 , 6934331025.0
350 , 253 , 4228250625.0
351 , 253 , 1469317092.1875
272 , 254 , 1860430275.0
273 , 254 , 5877268368.75
274 , 254 , 9555846412.5
275 , 254 , 13149859443.75
276 , 254 , 7441721100.0
277 , 254 , 5877268368.75
307 , 254 , 8498783756.25
308 , 254 , 6934331025.0
309 , 254 , 14206922100.0
310 , 254 , 14206922100.0
311 , 254 , 14206922100.0
312 , 254 , 6934331025.0
313 , 254 , 8498783756.25
346 , 254 , 5877268368.75
347 , 254 , 7441721100.0
348 , 254 , 13149859443.75
349 , 254 , 9555846412.5
350 , 254 , 5877268368.75
351 , 254 , 1860430275.0
272 , 255 , 803367618.75
273 , 255 , 2706080400.0
274 , 255 , 5084471376.5625
275 , 255 , 7441721100.0
276 , 255 , 4492516289.0625
277 , 255 , 4164826865.625
307 , 255 , 4164826865.625
308 , 255 , 3287464860.9375
309 , 255 , 6934331025.0
310 , 255 , 6934331025.0
311 , 255 , 6934331025.0
312 , 255 , 3287464860.9375
313 , 255 , 4164826865.625
346 , 255 , 4164826865.625
347 , 255 , 4492516289.0625
348 , 255 , 7441721100.0
349 , 255 , 5084471376.5625
350 , 255 , 2706080400.0
351 , 255 , 803367618.75
273 , 256 , 1099345162.5
274 , 256 , 3498877392.1875
275 , 256 , 5877268368.75
276 , 256 , 4164826865.625
277 , 256 , 5285313281.25
307 , 256 , 5285313281.25
308 , 256 , 4164826865.625
309 , 256 , 8498783756.25
310 , 256 , 8498783756.25
311 , 256 , 8498783756.25
312 , 256 , 4164826865.625
313 , 256 , 5285313281.25
346 , 256 , 5285313281.25
347 , 256 , 4164826865.625
348 , 256 , 5877268368.75
349 , 256 , 3498877392.1875
350 , 256 , 1099345162.5
139 , 282 , 1099345162.5
140 , 282 , 3498877392.1875
141 , 282 , 5877268368.75
142 , 282 , 4164826865.625
143 , 282 , 5285313281.25
239 , 282 , 5285313281.25
240 , 282 , 4164826865.625
241 , 282 , 8498783756.25
242 , 282 , 8498783756.25
243 , 282 , 8498783756.25
244 , 282 , 4164826865.625
245 , 282 , 5285313281.25
271 , 282 , 5285313281.25
272 , 282 , 4164826865.625
273 , 282 , 8498783756.25
274 , 282 , 8498783756.25
275 , 282 , 8498783756.25
276 , 282 , 4164826865.625
277 , 282 , 5285313281.25
307 , 282 , 5285313281.25
308 , 282 , 4164826865.625
309 , 282 , 5877268368.75
310 , 282 , 3498877392.1875
311 , 282 , 1099345162.5
138 , 283 , 803367618.75
139 , 283 , 2706080400.0
140 , 283 , 5084471376.5625
141 , 283 , 7441721100.0
142 , 283 , 4492516289.0625
143 , 283 , 4164826865.625
239 , 283 , 4164826865.625
240 , 283 , 3287464860.9375
241 , 283 , 6934331025.0
242 , 283 , 6934331025.0
243 , 283 , 6934331025.0
244 , 283 , 3287464860.9375
245 , 283 , 4164826865.625
271 , 283 , 4164826865.625
272 , 283 , 3287464860.9375
273 , 283 , 6934331025.0
274 , 283 , 6934331025.0
275 , 283 , 6934331025.0
276 , 283 , 3287464860.9375
277 , 283 , 4164826865.625
307 , 283 , 4164826865.625
308 , 283 , 4492516289.0625
309 , 283 , 7441721100.0
310 , 283 , 5084471376.5625
311 , 283 , 2706080400.0
312 , 283 , 803367618.75
138 , 284 , 1860430275.0
139 , 284 , 5877268368.75
140 , 284 , 9555846412.5
141 , 284 , 13149859443.75
142 , 284 , 7441721100.0
143 , 284 , 5877268368.75
239 , 284 , 8498783756.25
240 , 284 , 6934331025.0
241 , 284 , 14206922100.0
242 , 284 , 14206922100.0
243 , 284 , 14206922100.0
244 , 284 , 6934331025.0
245 , 284 , 8498783756.25
271 , 284 , 8498783756.25
272 , 284 , 6934331025.0
273 , 284 , 14206922100.0
274 , 284 , 14206922100.0
275 , 284 , 14206922100.0
276 , 284 , 6934331025.0
277 , 284 , 8498783756.25
307 , 284 , 5877268368.75
308 , 284 , 7441721100.0
309 , 284 , 13149859443.75
310 , 284 , 9555846412.5
311 , 284 , 5877268368.75
312 , 284 , 1860430275.0
138 , 285 , 1469317092.1875
139 , 285 , 4228250625.0
140 , 285 , 6934331025.0
141 , 285 , 9555846412.5
142 , 285 , 5084471376.5625
143 , 285 , 3498877392.1875
239 , 285 , 8498783756.25
240 , 285 , 6934331025.0
241 , 285 , 14206922100.0
242 , 285 , 14206922100.0
243 , 285 , 14206922100.0
244 , 285 , 6934331025.0
245 , 285 , 8498783756.25
271 , 285 , 8498783756.25
272 , 285 , 6934331025.0
273 , 285 , 14206922100.0
274 , 285 , 14206922100.0
275 , 285 , 14206922100.0
276 , 285 , 6934331025.0
277 , 285 , 8498783756.25
307 , 285 , 3498877392.1875
308 , 285 , 5084471376.5625
309 , 285 , 9555846412.5
310 , 285 , 6934331025.0
311 , 285 , 4228250625.0
312 , 285 , 1469317092.1875
138 , 286 , 1057062656.25
139 , 286 , 2494667868.75
140 , 286 , 4228250625.0
141 , 286 , 5877268368.75
142 , 286 , 2706080400.0
143 , 286 , 1099345162.5
239 , 286 , 8498783756.25
240 , 286 , 6934331025.0
241 , 286 , 14206922100.0
242 , 286 , 14206922100.0
243 , 286 , 14206922100.0
244 , 286 , 6934331025.0
245 , 286 , 8498783756.25
271 , 286 , 8498783756.25
272 , 286 , 6934331025.0
273 , 286 , 14206922100.0
274 , 286 , 14206922100.0
275 , 286 , 14206922100.0
276 , 286 , 6934331025.0
277 , 286 , 8498783756.25
307 , 286 , 1099345162.5
308 , 286 , 2706080400.0
309 , 286 , 5877268368.75
310 , 286 , 4228250625.0
311 , 286 , 2494667868.75
312 , 286 , 1057062656.25
138 , 287 , 623666967.1875
139 , 287 , 1057062656.25
140 , 287 , 1469317092.1875
141 , 287 , 1860430275.0
142 , 287 , 803367618.75
239 , 287 , 4164826865.625
240 , 287 , 3287464860.9375
241 , 287 , 6934331025.0
242 , 287 , 6934331025.0
